epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65331,2.43522,6.09697,1.38661,0.00242,0.16667,0.00166,0.00066,2.7078,3.80839,1.32439,5.001e-05,5.001e-05,5.001e-05
2,5.21801,3.06229,9.1658,1.87355,0.00246,0.16667,0.00171,0.00051,2.93568,3.8293,1.39866,0.000116305,0.000116305,0.000116305
3,5.87743,2.41564,6.85089,1.33619,0.00613,0.16667,0.00418,0.00078,2.59925,3.71272,1.2062,0.00018216,0.00018216,0.00018216
4,6.5629,1.53956,5.56109,1.06564,0.00617,0.16667,0.00412,0.00176,1.53727,3.76344,1.03408,0.000247575,0.000247575,0.000247575
5,7.24794,1.55964,4.10022,1.05229,0.0051,0.16667,0.00423,0.00099,1.8845,3.81755,1.25656,0.000312549,0.000312549,0.000312549
6,7.99967,0.96249,7.48864,0.711,0.01946,0.66667,0.021,0.01202,1.4476,3.67295,1.07321,0.000377084,0.000377084,0.000377084
7,8.69333,1.27658,3.47561,1.03004,0.0308,1,0.03804,0.01954,1.26726,3.63582,1.01097,0.000441178,0.000441178,0.000441178
8,9.4562,1.11215,3.14155,0.90524,0.03062,1,0.03565,0.01543,1.61712,3.61895,1.08445,0.000504833,0.000504833,0.000504833
9,10.1723,0.94403,3.24768,0.83651,0.02919,1,0.04097,0.02351,1.06683,3.59639,0.92619,0.000568047,0.000568047,0.000568047
10,10.9484,0.93133,2.79042,0.86327,0.03014,1,0.04083,0.02188,1.08111,3.6954,0.92674,0.000630821,0.000630821,0.000630821
11,11.663,1.11444,2.77879,0.87569,0.0254,0.66667,0.02534,0.01742,1.04935,3.6623,0.8794,0.000693155,0.000693155,0.000693155
12,12.2741,0.73779,6.23985,0.65056,0.0212,0.58333,0.02068,0.01285,0.89164,3.72536,0.86887,0.000755049,0.000755049,0.000755049
13,12.8978,0.89128,3.33898,0.85339,0.02965,1,0.10986,0.08968,0.9991,3.51581,0.89252,0.000816503,0.000816503,0.000816503
14,13.4984,0.98579,2.92117,0.87932,0.02322,0.66667,0.10218,0.06638,1.00154,3.5995,0.89247,0.000877517,0.000877517,0.000877517
15,14.1045,0.97614,2.63982,0.87425,0.01313,0.41667,0.09158,0.04762,0.9338,3.52941,0.89901,0.000938091,0.000938091,0.000938091
16,14.6985,0.90581,3.1982,0.84404,0,0,0,0,1.13749,3.64991,0.9746,0.000998225,0.000998225,0.000998225
17,15.3639,1.07439,2.82811,0.91399,0.0034,0.08333,0.08392,0.07553,1.20259,3.73256,0.96606,0.00105792,0.00105792,0.00105792
18,15.9005,0.86619,2.62046,0.91034,0.0073,0.16667,0.0056,0.00413,1.05375,3.86897,0.94464,0.00111717,0.00111717,0.00111717
19,16.4824,1.14286,2.35471,0.90656,0.02627,0.91667,0.11549,0.08847,1.25102,3.32371,0.94649,0.00117599,0.00117599,0.00117599
20,17.0653,0.97104,2.58119,0.87091,0.02685,0.83333,0.11086,0.06906,1.12958,3.13443,0.96567,0.00123436,0.00123436,0.00123436
21,17.7041,0.95889,2.07111,0.87258,0.00336,0.08333,0.0839,0.06712,2.01828,3.39627,1.28504,0.00129229,0.00129229,0.00129229
22,18.4695,0.93609,2.08198,0.87353,0.66926,0.21595,0.19678,0.14616,1.04633,2.98496,0.94719,0.00134978,0.00134978,0.00134978
23,19.095,1.12579,2.17092,0.93295,0.02539,0.83333,0.3448,0.24741,1.42048,3.25769,1.03634,0.00140684,0.00140684,0.00140684
24,19.7079,0.9067,2.05448,0.87721,0.02787,0.91667,0.17431,0.12607,1.06744,2.99248,0.98153,0.00146345,0.00146345,0.00146345
25,20.2838,0.68074,3.74096,0.64177,0.0251,0.83333,0.13775,0.12485,1.10372,3.15532,0.99731,0.00151962,0.00151962,0.00151962
26,20.8822,0.81744,1.91683,0.88552,0.53611,0.08333,0.01051,0.00247,1.36008,3.95195,1.07551,0.00152947,0.00152947,0.00152947
27,21.4669,0.94807,1.77939,0.87496,0.02896,0.5,0.02478,0.01455,1.55577,3.89455,1.07038,0.00152397,0.00152397,0.00152397
28,22.064,0.90144,1.86455,0.89625,0.7562,0.08333,0.1755,0.11892,1.45168,3.413,1.07937,0.00151847,0.00151847,0.00151847
29,22.6274,0.9161,1.7316,0.86734,0.89025,0.08333,0.27892,0.24782,0.97734,3.28056,0.9189,0.00151297,0.00151297,0.00151297
30,23.232,0.99779,1.88164,0.86782,1,0.13642,0.54279,0.43679,1.06749,2.73532,0.96138,0.00150747,0.00150747,0.00150747
31,23.8265,0.91444,1.72122,0.8668,0.03022,0.75,0.44743,0.32579,1.1762,3.1495,0.99474,0.00150197,0.00150197,0.00150197
32,24.4565,0.95265,1.65369,0.86482,1,0.15345,0.42863,0.31785,1.24233,2.88819,1.01663,0.00149647,0.00149647,0.00149647
33,25.0594,0.85261,1.63923,0.85755,1,0.21751,0.60131,0.39634,1.57077,2.69671,1.13579,0.00149096,0.00149096,0.00149096
34,25.6197,0.85646,1.63725,0.84631,1,0.15579,0.45104,0.25341,2.0185,2.7938,1.22064,0.00148546,0.00148546,0.00148546
35,26.1859,0.99285,1.77139,0.85283,1,0.15385,0.55179,0.4002,1.04272,2.86251,0.94116,0.00147996,0.00147996,0.00147996
36,26.7642,0.91919,1.5686,0.89993,1,0.15356,0.47509,0.27989,1.83826,2.6896,1.12578,0.00147446,0.00147446,0.00147446
37,27.3245,0.8768,1.67958,0.86999,0.17735,0.91667,0.42425,0.27479,1.37032,2.99429,0.9883,0.00146896,0.00146896,0.00146896
38,27.9161,1.07773,1.48204,0.89691,0.08934,0.91667,0.55044,0.35228,1.26398,2.89955,0.96375,0.00146346,0.00146346,0.00146346
39,28.4925,1.08577,1.75694,0.92195,0.16888,0.91667,0.3233,0.25106,1.0404,3.2102,0.94009,0.00145796,0.00145796,0.00145796
40,29.0792,0.94992,1.6276,0.85969,0.19354,0.91667,0.51779,0.35702,1.08828,2.22638,0.94284,0.00145246,0.00145246,0.00145246
41,29.6661,1.12525,1.66254,0.91215,0.68463,0.25,0.68517,0.54269,0.99054,1.87652,0.92064,0.00144696,0.00144696,0.00144696
42,30.3007,0.93288,1.40386,0.86527,0.82099,0.08333,0.29609,0.221,1.37281,3.67964,1.01359,0.00144145,0.00144145,0.00144145
43,30.8817,0.7729,1.46473,0.86479,0.06829,1,0.52024,0.44524,0.93751,2.49239,0.89923,0.00143595,0.00143595,0.00143595
