epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5797,2.27527,5.49807,1.35359,0.01042,0.25,0.00796,0.00429,2.09306,3.7922,1.0925,0.00010002,0.00010002,0.00010002
2,49.8649,1.54389,5.02051,1.08953,0.00949,0.25,0.00744,0.00417,1.36957,3.73811,0.98742,0.000214565,0.000214565,0.000214565
3,75.724,1.4552,3.87892,1.00974,0.02639,0.91667,0.03118,0.01363,1.53521,3.69903,1.02868,0.000326799,0.000326799,0.000326799
4,100.865,1.16911,3.72014,0.94161,0.02648,0.91667,0.04652,0.02426,1.27666,3.63263,0.98761,0.000436722,0.000436722,0.000436722
5,123.769,1.19898,3.69298,0.9305,0.02402,0.83333,0.02805,0.01505,1.22456,3.58402,1.03145,0.000544336,0.000544336,0.000544336
6,146.589,0.98921,3.22682,0.86649,0.02119,0.41667,0.022,0.01237,1.15171,3.77381,0.95574,0.000649638,0.000649638,0.000649638
7,171.8,1.0098,3.07994,0.90351,0.01485,0.25,0.01144,0.00556,1.42497,3.78974,0.98133,0.00075263,0.00075263,0.00075263
8,197.649,1.04555,3.26868,0.8882,0.03038,0.83333,0.03342,0.01326,1.35162,3.65128,0.96846,0.000853312,0.000853312,0.000853312
9,221.872,1.0374,2.79111,0.88137,0.02951,1,0.13879,0.09964,1.1984,3.33663,0.94987,0.000951684,0.000951684,0.000951684
10,244.742,0.9295,2.86847,0.89074,0.03062,1,0.1566,0.09841,1.17279,3.29995,0.94052,0.00104774,0.00104774,0.00104774
11,267.921,0.89307,2.59252,0.86889,0.02171,0.66667,0.10323,0.08015,1.37849,3.33559,1.01432,0.00114149,0.00114149,0.00114149
12,293.551,1.02953,2.80002,0.87471,0.02,0.66667,0.14081,0.11397,1.97995,3.05138,1.16927,0.00123293,0.00123293,0.00123293
13,320.844,0.96971,2.51836,0.86944,1,0.16463,0.30943,0.15702,1.53317,2.74159,1.10477,0.00132206,0.00132206,0.00132206
14,346.34,1.02109,2.62632,0.88229,1,0.13964,0.38447,0.19022,1.81925,2.67064,1.11717,0.00140888,0.00140888,0.00140888
15,371.878,0.93513,2.34381,0.87926,1,0.13918,0.43408,0.30729,1.08993,2.68502,0.93747,0.00143595,0.00143595,0.00143595
16,397.098,0.84927,2.48166,0.87291,1,0.16642,0.72263,0.52723,1.09574,2.55137,0.93666,0.00141945,0.00141945,0.00141945
17,422.483,0.84274,2.44931,0.8659,1,0.15893,0.73417,0.49582,1.18718,2.36937,0.95867,0.00140295,0.00140295,0.00140295
18,447.88,0.8835,2.3921,0.85836,1,0.15747,0.74,0.56472,1.05313,2.21619,0.98248,0.00138644,0.00138644,0.00138644
19,473.172,0.81553,2.25515,0.85141,0.81487,0.37257,0.64025,0.49433,1.01743,2.53463,0.93531,0.00136994,0.00136994,0.00136994
20,498.305,0.79674,2.19345,0.84523,1,0.1631,0.58266,0.48199,1.00427,2.57993,0.93139,0.00135344,0.00135344,0.00135344
21,523.6,0.88111,2.21204,0.85499,1,0.14803,0.5786,0.45101,1.05662,2.92505,0.94198,0.00133693,0.00133693,0.00133693
22,547.769,0.81374,2.35795,0.86288,0.0242,0.75,0.46203,0.36628,1.05325,3.1486,0.94501,0.00132043,0.00132043,0.00132043
23,570.453,0.79742,2.30975,0.86069,0.64224,0.47019,0.65949,0.52497,0.88338,2.07088,0.90774,0.00130393,0.00130393,0.00130393
24,594.59,0.7824,1.99823,0.88233,0.61122,0.61395,0.6531,0.52298,0.81764,1.84473,0.91142,0.00128742,0.00128742,0.00128742
25,620.054,0.81772,1.95517,0.86048,0.61491,0.66667,0.61205,0.4263,1.04309,2.1238,0.979,0.00127092,0.00127092,0.00127092
26,644.918,0.8407,1.99463,0.85605,0.63749,0.66614,0.59636,0.50179,0.84051,2.11511,0.87657,0.00125442,0.00125442,0.00125442
27,667.506,0.84618,1.90364,0.84638,0.5762,0.75,0.65782,0.49978,0.88587,1.91283,0.89763,0.00123791,0.00123791,0.00123791
28,690.513,0.78969,2.05562,0.8494,0.48837,0.60599,0.62875,0.46338,0.88413,1.85532,0.90043,0.00122141,0.00122141,0.00122141
29,715.8,0.75147,1.8188,0.86164,0.47751,0.58216,0.66736,0.46711,0.89873,1.95609,0.8951,0.00120491,0.00120491,0.00120491
30,741.384,0.72657,1.66703,0.82787,0.54533,0.78183,0.66198,0.46533,0.87435,1.726,0.89219,0.0011884,0.0011884,0.0011884
31,764.392,0.78632,1.87261,0.85193,0.4713,0.82293,0.6425,0.49777,0.8908,1.47391,0.91101,0.0011719,0.0011719,0.0011719
32,787.124,0.71757,1.53621,0.83805,0.51672,0.75,0.56589,0.42345,0.88191,2.21805,0.90326,0.0011554,0.0011554,0.0011554
33,811.967,0.85547,1.69012,0.85708,0.01646,0.5,0.17453,0.1568,0.95985,3.59288,0.93354,0.00113889,0.00113889,0.00113889
34,839.123,0.77241,1.53043,0.83203,0.00417,0.08333,0.08424,0.07582,1.01747,3.91414,0.97836,0.00112239,0.00112239,0.00112239
35,867.674,0.77985,1.52598,0.84283,0.85039,0.08333,0.08404,0.07563,1.04098,3.85096,0.96798,0.00110589,0.00110589,0.00110589
36,894.674,0.7078,1.55902,0.85165,1,0.2407,0.81981,0.63311,0.82951,2.26872,0.88344,0.00108938,0.00108938,0.00108938
